id,gpn_num
K?????????^~,78
K???????C?^},78
K???????E?V},78
K???????E?^},88
K???????E?F~,78
K???????F?R},78
K???????F?Z},95
K???????F?^},97
K???????F?B~,78
K???????F_P},78
K???????F_X},100
K???????F_\},109
K???????F_^},105
K???????F_@~,78
K???????FoO},78
K???????FoW},103
K???????Fo[},117
K???????Fo]},120
K???????Fo^},112
K???????Fo?~,78
K???????FwW],104
K???????Fw[],121
K???????Fw]],129
K???????Fw^],128
K???????Fw^},118
K???????F{]M,132
K???????F{^M,136
K???????F{^m,133
K???????F{^},123
K???????F}^e,138
K???????F}^u,135
K???????F}^},127
K???????F~^y,134
K???????F~^},130
K???????F~~},132
K??????_A?^{,78
K??????_E?V{,78
K??????_E?N{,78
K??????_E?^{,88
K??????_B?Z{,78
K??????_B?^{,88
K??????_B?R|,78
K??????_F?R{,78
K??????_F?J{,78
K??????_F?Z{,94
K??????_F?N{,100
K??????_F?^{,97
K??????_F?B},78
K??????_F?B|,78
K??????_F?B~,88
K??????_B_X{,78
K??????_B_\{,95
K??????_B_^{,97
K??????_B_P|,78
K??????_F_P{,78
K??????_F_H{,78
K??????_F_X{,98
K??????_F_L{,103
K??????_F_\{,107
K??????_F_N{,117
K??????_F_^{,105
K??????_F_@},78
K??????_F_@|,78
K??????_F_@~,88
K??????_BoW{,78
K??????_Bo[{,100
K??????_Bo]{,109
K??????_Bo^{,105
K??????_BoO|,78
K??????_FoO{,78
K??????_FoW{,100
K??????_FoK{,104
K??????_Fo[{,113
K??????_FoM{,121
K??????_Fo]{,117
K??????_FoN{,129
K??????_Fo^{,112
K??????_Fo?},78
K??????_Fo?~,88
K??????_BwW[,78
K??????_Bw[[,103
K??????_Bw][,117
K??????_Bw^[,120
K??????_Bw^{,112
K??????_Fw[[,115
K??????_Fw][,123
K??????_FwN[,132
K??????_Fw^[,124
K??????_FwN{,136
K??????_Fw^{,118
K??????_B{]K,121
K??????_B{^K,129
K??????_B{^k,128
K??????_B{^{,118
K??????_F{^K,128
K??????_F{^k,128
K??????_F{N{,138
K??????_F{^{,123
K??????_B}^c,136
K??????_B}^s,133
K??????_B}^{,123
K??????_F}^s,129
K??????_F}^{,127
K??????_B~^w,135
K??????_B~^{,127
K??????_F~^{,130
K??????oE?V{,88
K??????oE?^{,97
K??????oD?R{,78
K??????oD?J{,78
K??????oD?Z{,88
K??????oD?N{,87
K??????oD?^{,98
K??????oD?B},78
K??????oD?B~,89
K??????oF?R{,88
K??????oF?Z{,103
K??????oF?F{,88
K??????oF?V{,104
K??????oF?^{,107
K??????oF?B},95
K??????oF?B|,88
K??????oF?B~,97
K??????o@_T{,78
K??????o@_\{,88
K??????o@_^{,99
K??????o@_D},78
K??????o@_F},88
K??????o@_@~,78
K??????oD_P{,78
K??????oD_H{,78
K??????oD_X{,88
K??????oD_D{,78
K??????oD_T{,93
K??????oD_L{,87
K??????oD_\{,104
K??????oD_F{,103
K??????oD_V{,97
K??????oD_N{,101
K??????oD_^{,107
K??????oD_@},78
