graph6_encoding,type,num_nodes,num_edges,gpn_num
C~,cubic,4,6,10
EFz_,cubic,6,9,33
EUxo,cubic,6,9,27
G?zTb_,cubic,8,12,68
GCrb`o,cubic,8,12,44
GCZJd_,cubic,8,12,46
GCXmd_,cubic,8,12,48
GCY^B_,cubic,8,12,41
I?BeeOwM?,cubic,10,15,91
I?Bcu`gM?,cubic,10,15,95
I?bFB_wF?,cubic,10,15,85
I?bEHow[?,cubic,10,15,73
I?`bfAWF?,cubic,10,15,76
I?`cu`oJ?,cubic,10,15,75
I?`cspoX?,cubic,10,15,87
I?`bM_we?,cubic,10,15,74
I?`cm`gM?,cubic,10,15,75
I?`cmPoM?,cubic,10,15,72
I?`amQoM?,cubic,10,15,69
I?`c]`oM?,cubic,10,15,76
ICOfBaKF?,cubic,10,15,69
ICOf@pSb?,cubic,10,15,55
ICOef?kF?,cubic,10,15,69
ICOedPKL?,cubic,10,15,64
ICOedO[X?,cubic,10,15,61
ICQRD_kQ_,cubic,10,15,61
ICQRD_iR?,cubic,10,15,61
K??FEb_F?wD_,cubic,12,18,146
K??FEbGL@WB_,cubic,12,18,150
K??FEagT@WB_,cubic,12,18,162
K??FEaKY@gB_,cubic,12,18,138
K??FEaKR@oE_,cubic,12,18,126
K?AEF@oM?w@o,cubic,12,18,114
K?AEB`gHcoB_,cubic,12,18,108
K?AEEHaM@oB_,cubic,12,18,122
K?AEEDcF@oF?,cubic,12,18,107
K?AEDDWX@oB_,cubic,12,18,99
K?ABF@ce?sB_,cubic,12,18,96
K?ABEb_J?sB_,cubic,12,18,102
K?ABEagE`gH_,cubic,12,18,98
K?ABE`Ke@gDO,cubic,12,18,98
K?ABE`Ke@WEO,cubic,12,18,99
K?ABBb_e?[B_,cubic,12,18,105
K?ABBb_E_wP_,cubic,12,18,105
K?ABB`gc_wP_,cubic,12,18,107
K?ABB`gEcgP_,cubic,12,18,108
K?ABCqWUBGCo,cubic,12,18,111
K?ABArOb@WEO,cubic,12,18,103
K?ABApok?[P_,cubic,12,18,117
K?ABApoMCWOo,cubic,12,18,116
K?ABApoc`WP_,cubic,12,18,109
K?ABArCe@gDO,cubic,12,18,100
K?ABCiWRB_DO,cubic,12,18,108
K?ABCiWFBOKO,cubic,12,18,133
K?ABCiKU@oKO,cubic,12,18,122
K?ABEDoM?wP_,cubic,12,18,114
K?ABEDWM?wS_,cubic,12,18,109
K?ABEESU@WF?,cubic,12,18,106
K?ABBF_e?wB_,cubic,12,18,104
K?ABBFOe@WB_,cubic,12,18,109
K?ABBFOb@oB_,cubic,12,18,113
K?ABBFCe@oB_,cubic,12,18,117
K?ABCfOY?wD_,cubic,12,18,104
K?ABCfOR@oD_,cubic,12,18,107
K?ABCfGT@oD_,cubic,12,18,104
K?ABCeWU@WK_,cubic,12,18,112
K?ABCdWT@WT?,cubic,12,18,102
K?ABCfCY?wF?,cubic,12,18,111
K?ABCfCU@WF?,cubic,12,18,109
K?ABAdoi?wP_,cubic,12,18,112
K?ABAdgi?wQ_,cubic,12,18,108
K?ABAfCi?wF?,cubic,12,18,108
K?AB?vOTDOD_,cubic,12,18,94
K?AB?tos@WP_,cubic,12,18,99
K?ABCN_U?wF?,cubic,12,18,101
K?ABCNOY?wF?,cubic,12,18,104
K?BD?qcKaoHG,cubic,12,18,95
K?BD?pck?sHG,cubic,12,18,86
K?BD?pSw@SBG,cubic,12,18,104
K?`@F@gd?sAo,cubic,12,18,102
K?`@Eb_M?k@o,cubic,12,18,105
K?`@Eb_J?sAo,cubic,12,18,100
K?`@Eb_F?[EO,cubic,12,18,108
K?`@E`gh?sAo,cubic,12,18,94
K?`@E`gFCcCo,cubic,12,18,93
K?`@E`gFCKEO,cubic,12,18,96
K?`@E`gEcKE_,cubic,12,18,93
K?`@E`Wh?kDO,cubic,12,18,89
K?`@EaKY?kEO,cubic,12,18,96
K?`@EaKX?sEO,cubic,12,18,94
K?`@EROM?kCo,cubic,12,18,95
K?`@EQgLAcAo,cubic,12,18,90
K?`@EQK[?kEO,cubic,12,18,99
K?`@Cr_T?[EO,cubic,12,18,102
K?`@CrGX?kEO,cubic,12,18,98
K?`@CrGT@KEO,cubic,12,18,96
K?`@CqW[AKCo,cubic,12,18,98
K?`@CrCY?kEO,cubic,12,18,99
K?`DAagK_iH_,cubic,12,18,98
K?`D@`gE_iW_,cubic,12,18,91
K?`D@`cS_wPG,cubic,12,18,93
K?`D@bAJAgBG,cubic,12,18,92
K?`D@`ae?iH_,cubic,12,18,90
K?`D@aQY?wGg,cubic,12,18,96
K?`@`ago_YI_,cubic,12,18,94
K?`CRAWK`gGg,cubic,12,18,92
K?`CPbGP`gEG,cubic,12,18,113
K?`CPbGHb_Ag,cubic,12,18,97
K?`CPag[?kGg,cubic,12,18,93
K?`CPagXAcAg,cubic,12,18,90
K?`CPagWagAg,cubic,12,18,91
K?`CPagPagEG,cubic,12,18,102
M???FB_eAgBOH_B_?,cubic,14,21,192
M???FBOw@oAoB_B_?,cubic,14,21,193
M???FBOw@WBOD_B_?,cubic,14,21,209
M???FBOq@KF?D_B_?,cubic,14,21,179
M???FBOq@KCoF?E_?,cubic,14,21,189
M???FBOiAgDOD_B_?,cubic,14,21,203
M???FBObB_DOD_B_?,cubic,14,21,209
M???FBObBCF?B_D_?,cubic,14,21,193
M???FBObBCD_E_D_?,cubic,14,21,197
M???FBObBCDOD_F??,cubic,14,21,199
M???FBObASF?H_D_?,cubic,14,21,181
M???FBObASD_D_K_?,cubic,14,21,191
M???FAW`agD_K_Q_?,cubic,14,21,161
M??CEB_[@oB_B_@o?,cubic,14,21,189
M??CEB_WPoAoB_F??,cubic,14,21,170
M??CE@oY@gB_@oa_?,cubic,14,21,153
M??CE@oY?iD_E_`_?,cubic,14,21,146
M??CE@oY@EQ_F?B_?,cubic,14,21,161
M??CE@oQdGDOF?DO?,cubic,14,21,143
M??CE?wLB_H_Ao`_?,cubic,14,21,154
M??CEBAWOsE_J?F??,cubic,14,21,177
M??CEB@W_sE_J?F??,cubic,14,21,166
