type,name,num_nodes,num_edges,gpn_num
bipartite,"G(1, 1, 1)",2,1,3
bipartite,"G(1, 2, 2)",3,2,6
bipartite,"G(1, 3, 3)",4,3,10
bipartite,"G(1, 4, 4)",5,4,15
bipartite,"G(1, 5, 5)",6,5,21
bipartite,"G(1, 6, 6)",7,6,28
bipartite,"G(1, 7, 7)",8,7,36
bipartite,"G(1, 8, 8)",9,8,45
bipartite,"G(1, 9, 9)",10,9,55
bipartite,"G(2, 2, 3)",4,3,10
bipartite,"G(2, 2, 4)",4,4,12
bipartite,"G(2, 3, 4)",5,4,15
bipartite,"G(2, 3, 5)",5,5,18
bipartite,"G(2, 3, 6)",5,6,20
bipartite,"G(2, 4, 5)",6,5,21
bipartite,"G(2, 4, 6)",6,6,25
bipartite,"G(2, 4, 7)",6,7,28
bipartite,"G(2, 4, 8)",6,8,30
bipartite,"G(2, 5, 6)",7,6,28
bipartite,"G(2, 5, 7)",7,7,33
bipartite,"G(2, 5, 8)",7,8,37
bipartite,"G(2, 5, 9)",7,9,40
bipartite,"G(2, 5, 10)",7,10,42
bipartite,"G(2, 6, 7)",8,7,36
bipartite,"G(2, 6, 8)",8,8,45
bipartite,"G(2, 6, 9)",8,9,47
bipartite,"G(2, 6, 10)",8,10,51
bipartite,"G(2, 6, 11)",8,11,54
bipartite,"G(2, 6, 12)",8,12,56
bipartite,"G(2, 7, 8)",9,8,45
bipartite,"G(2, 7, 9)",9,9,56
bipartite,"G(2, 7, 10)",9,10,58
bipartite,"G(2, 7, 11)",9,11,63
bipartite,"G(2, 7, 12)",9,12,67
bipartite,"G(2, 7, 13)",9,13,70
bipartite,"G(2, 7, 14)",9,14,72
bipartite,"G(2, 8, 9)",10,9,55
bipartite,"G(2, 8, 10)",10,10,71
bipartite,"G(2, 8, 11)",10,11,78
bipartite,"G(2, 8, 12)",10,12,76
bipartite,"G(2, 8, 13)",10,13,81
bipartite,"G(2, 8, 14)",10,14,85
bipartite,"G(2, 8, 15)",10,15,88
bipartite,"G(2, 8, 16)",10,16,90
bipartite,"G(3, 3, 5)",6,5,21
bipartite,"G(3, 3, 6)",6,6,25
bipartite,"G(3, 3, 7)",6,7,28
bipartite,"G(3, 3, 8)",6,8,32
bipartite,"G(3, 3, 9)",6,9,33
bipartite,"G(3, 4, 6)",7,6,28
bipartite,"G(3, 4, 7)",7,7,33
bipartite,"G(3, 4, 8)",7,8,37
bipartite,"G(3, 4, 9)",7,9,40
bipartite,"G(3, 4, 10)",7,10,46
bipartite,"G(3, 4, 11)",7,11,49
bipartite,"G(3, 4, 12)",7,12,49
bipartite,"G(3, 5, 7)",8,7,36
bipartite,"G(3, 5, 8)",8,8,42
bipartite,"G(3, 5, 9)",8,9,47
bipartite,"G(3, 5, 10)",8,10,51
bipartite,"G(3, 5, 11)",8,11,54
bipartite,"G(3, 5, 12)",8,12,62
bipartite,"G(3, 5, 13)",8,13,67
bipartite,"G(3, 5, 14)",8,14,69
bipartite,"G(3, 5, 15)",8,15,68
bipartite,"G(3, 6, 8)",9,8,45
bipartite,"G(3, 6, 9)",9,9,52
bipartite,"G(3, 6, 10)",9,10,60
bipartite,"G(3, 6, 11)",9,11,67
bipartite,"G(3, 6, 12)",9,12,70
bipartite,"G(3, 6, 13)",9,13,74
bipartite,"G(3, 6, 14)",9,14,80
bipartite,"G(3, 6, 15)",9,15,87
bipartite,"G(3, 6, 16)",9,16,91
bipartite,"G(3, 6, 17)",9,17,92
bipartite,"G(3, 6, 18)",9,18,90
bipartite,"G(3, 7, 9)",10,9,55
bipartite,"G(3, 7, 10)",10,10,63
bipartite,"G(3, 7, 11)",10,11,72
bipartite,"G(3, 7, 12)",10,12,80
bipartite,"G(3, 7, 13)",10,13,84
bipartite,"G(3, 7, 14)",10,14,89
bipartite,"G(3, 7, 15)",10,15,96
bipartite,"G(3, 7, 16)",10,16,100
bipartite,"G(3, 7, 17)",10,17,109
bipartite,"G(3, 7, 18)",10,18,115
bipartite,"G(3, 7, 19)",10,19,118
bipartite,"G(3, 7, 20)",10,20,118
bipartite,"G(3, 7, 21)",10,21,115
bipartite,"G(4, 4, 7)",8,7,36
bipartite,"G(4, 4, 8)",8,8,42
