,graph6_label,num_nodes,num_edges,gpn_score
0,J?BlvrouFo?,11,26,204
1,K??F~X{|Ew]_,12,31,271
2,L??Ezz{nFg\?n?,13,35,354
3,M???Dy}vfk^O~_z_?,14,42,461
4,N???B~]{fwNo~_|?\o?,15,47,575
5,O????Az^V{Zwno|o^oF}?,16,55,721
6,P????@vvv}^WzovONwFk?no?,17,61,899
7,Q??????~}~Nk^wzo]wFL?}_B|_?,18,66,1081
8,R??????zvl^[vw~wF{Ez?~_@z?Fp??,19,72,1312
9,S???????Evn}|kl{\uD|_}{BnOFz_F~_?,20,85,1584
10,T???????C~~{~{~[]}F\?rs@noFz_B]_B}O?,21,91,1868
11,U?????????Y~~}~yXv@|_}}A|wF}?FNo@~o?^k??,22,98,2224
12,V?????????Zt^}|}^jEvozmB~wB~_D}oByw?~y?EN_??,23,110,2623
13,W???????????d}[~V^fZw~~B~sFyoBxwBvC?nj?E}w?^]_?,24,115,3077
14,X???????????zMV}VZfvwztB|kF~wF|wBb{?|l?Ezw?Pz_?l~??,25,125,3549
15,Y?????????????y~~{v[{|}b[}BxsDn[BzM?V~_EZg?^~o?vv??zm_??,26,134,4107
16,Z?????????????~v^^fys~Ib~}@|{Fm{@Ym?~l_C~{?V|O?\~??|t_?]}o??,27,146,4675
17,[???????????????Zzj^{v^b}nEymF}uAj}?LnoEf}?^}w?zxo?~~o?Nv_?Bvg??,28,155,5383
18,\???????????????^~|tuVtp~nFvuB}c@}~?~v?E~m?]|g?|n_?n]o?]kw?E^}??puo??,29,166,6131
19,]?????????????????D}zv|z{nfnvF^uBfy?mzOF~~?^^w?]xg?uvw?Ntk?E^|??fvW?@^y_??,30,177,6925
